target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,7,"[0.7555591219529593, 0.6532302644483675, 0.7162620287807894, 0.7456784673788293, 0.7186015714664078, 0.7369118036549838, 0.6909829117030295]",0.7167465956264809,0.03262748292423921,"[0.25389666925295495, 0.12523100491045852, 0.1806199679526147, 0.22029142353524217, 0.17242479275305897, 0.28805001031913136, 0.16950656684143603]",0.20143149079498524,0.0517014544848462
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,8,"[0.7498006379585326, 0.6980163476874003, 0.7069872054137771, 0.7017619123633171, 0.7274622874930161, 0.7253571713624392, 0.721077101125389, 0.7495061457418789]",0.7224961011432187,0.01864012235406534,"[0.24091823767724188, 0.18731428354690718, 0.15590435098220087, 0.1766404661007209, 0.2204651125100091, 0.21636429764349635, 0.16648099489197335, 0.24091376237525472]",0.20062518821597555,0.031237532518854354
target_inno_subsidy_or_target_non_gov_investment,founding_doc2vec_diff,4,"[0.7481240752483618, 0.7255205030648911, 0.730731579977811, 0.7339946485675128]",0.7345927017146443,0.008376586218188965,"[0.2011801811097083, 0.19425871210859175, 0.2032950945487857, 0.18849994598264655]",0.19680848343743307,0.0058463876178943145
target_inno_subsidy_or_target_non_gov_investment,current_doc2vec_diff,7,"[0.7128448844884488, 0.6888529549840905, 0.749152365552136, 0.6823196494705546, 0.7762245057639142, 0.7011762558030358, 0.7188722549684419]",0.7184918387186603,0.031149138199969572,"[0.20110247231613848, 0.2195061155228465, 0.18947707909488487, 0.16003431915268382, 0.2538454446104595, 0.1816587585363455, 0.19910781476617873]",0.20067600057136245,0.027575925573829124
target_inno_subsidy_or_target_non_gov_investment,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,6,"[0.7466391570642583, 0.7304967299906572, 0.6968628607325547, 0.7921821515108781, 0.7359136421327932, 0.7195420571531134]",0.7369394330973758,0.029146765387804502,"[0.2402053813715306, 0.20513345287002038, 0.17304787057987547, 0.27846951237036743, 0.2267147191590185, 0.18108196653248074]",0.21744215048054885,0.03599283079361795
target_inno_subsidy,founding_doc2vec_diff,4,"[0.6826577312847336, 0.6877656096763648, 0.6755884275907159, 0.6866715758468336]",0.683170836099662,0.00477292673174002,"[0.15141332462522683, 0.1313272096638134, 0.1814593669726683, 0.14822499247782042]",0.15310622343488223,0.018061827920718716
target_inno_subsidy,current_doc2vec_diff,5,"[0.6866545694490267, 0.6796230616958099, 0.7259774001979545, 0.6905101826579886, 0.6848624816292253]",0.693525539126001,0.016599718852160564,"[0.1489487094574525, 0.21598039828841803, 0.15093903142228285, 0.1692398438741783, 0.13352698610483785]",0.1637269938294339,0.02847728895538176
target_inno_subsidy,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,6,"[0.7634900731452456, 0.7545036572622779, 0.7277115987460816, 0.7550345224395857, 0.6429393391418707, 0.7191558441558442]",0.7271391724818176,0.04082896580670791,"[0.19505019632378742, 0.2242673623253679, 0.19485980398709069, 0.21708803669201754, 0.1414126978203151, 0.15644623101070054]",0.18818738802654653,0.030066603853659394
target_non_gov_investment,founding_doc2vec_diff,6,"[0.7080598455598456, 0.6963320463320464, 0.748407335907336, 0.754563492063492, 0.6541666666666667, 0.7027777777777777]",0.7107178607178607,0.033709630409300015,"[0.21281779288462138, 0.12349626195823193, 0.25339335812800784, 0.16197027966981523, 0.11907549737589544, 0.1292222883261056]",0.16666257972377957,0.05033915990572649
target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,9,"[0.680803143569101, 0.7039007092198581, 0.6996650906225376, 0.7128644602048857, 0.7110914105594957, 0.6989755713159967, 0.7039992119779354, 0.6749075896500408, 0.7076472564927273]",0.6993171604013976,0.01235276410117059,"[0.2904450647615603, 0.13694456067844443, 0.21471025298953328, 0.1637594333732281, 0.19334904478520232, 0.13912172630624822, 0.1330502065209464, 0.12616866029226503, 0.2366646808757722]",0.18157929228702221,0.05339601101750106
target_non_gov_investment,current_doc2vec_diff,6,"[0.7079823171240304, 0.7609892401367921, 0.7354497354497355, 0.792999592999593, 0.68005698005698, 0.7062238930659983]",0.7306169598055215,0.037641033380308976,"[0.1354609361318968, 0.20328434811470372, 0.23367825543480175, 0.25889896256692135, 0.1511999214873975, 0.1422814109037672]",0.18746730577324808,0.04752168457786645
target_non_gov_investment,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,8,"[0.7376850279058481, 0.7509546737506225, 0.6885810345525986, 0.7431036577956008, 0.7063636731883177, 0.6197188803823875, 0.7483290800826345, 0.7578077530684165]",0.7190679725908034,0.043673716871127095,"[0.16000016479295748, 0.18727690318640408, 0.12433681547495587, 0.17985082462094165, 0.13399985706674164, 0.14872575855413608, 0.259649331597073, 0.229516073329718]",0.17791946607786596,0.0438843351772527
target_acquisition,founding_doc2vec_diff,5,"[0.7323395111469245, 0.5686274509803921, 0.7301907064195541, 0.49973139940907874, 0.6355089981197959]",0.633279613215149,0.09080156497968624,"[0.09929122879927363, 0.06301006459288598, 0.2057016058779113, 0.047580792414166004, 0.07689602542996417]",0.09849594342284021,0.05623494144591932
target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,5,"[0.6217153528077898, 0.6174469787915167, 0.4872615712951847, 0.5168734160330799, 0.5122474747474748]",0.5511089587350092,0.05682388933129876,"[0.08763015534685428, 0.11749728071291043, 0.060027047869918825, 0.04874292272257583, 0.11178760536032642]",0.08513700240251716,0.027271585631656374
target_acquisition,current_doc2vec_diff,8,"[0.6633209062231145, 0.5158227848101266, 0.4016350210970464, 0.6268459915611814, 0.5425776754890679, 0.40937859608745686, 0.5077675489067894, 0.5244533947065593]",0.5239752398601678,0.08571359080785475,"[0.11318543505804549, 0.04359995824370601, 0.043012084401104086, 0.09682549845835693, 0.05642101519852141, 0.03170513178956123, 0.05076399660406823, 0.17088908450902246]",0.07580027553279822,0.04463780677710149
